Name;Median Household Income;90% CI Lower Bound;90% CI Upper Bound
Arkansas;41.335;40.702;41.968
Arkansas County;36.409;33.229;39.589
Ashley County;36.176;33.241;39.111
Baxter County;37.873;34.781;40.965
Benton County;57.408;53.991;60.825
Boone County;39.779;36.673;42.885
Bradley County;32.734;29.467;36.001
Calhoun County;39.493;35.341;43.645
Carroll County;36.964;34.643;39.285
Chicot County;29.541;26.434;32.648
Clark County;38.504;34.991;42.017
Clay County;33.826;30.601;37.051
Cleburne County;40.555;36.682;44.428
Cleveland County;43.201;38.897;47.505
Columbia County;37.495;33.872;41.118
Conway County;42.348;38.416;46.280
Craighead County;42.851;39.985;45.717
Crawford County;43.466;40.587;46.345
Crittenden County;35.455;32.203;38.707
Cross County;38.597;35.388;41.806
Dallas County;34.018;30.756;37.280
Desha County;33.028;29.626;36.430
Drew County;36.801;33.282;40.320
Faulkner County;51.436;48.049;54.823
Franklin County;40.404;37.833;42.975
Fulton County;33.347;29.773;36.921
Garland County;40.621;38.177;43.065
Grant County;46.067;41.932;50.202
Greene County;42.572;38.863;46.281
Hempstead County;33.136;29.959;36.313
Hot Spring County;37.831;34.558;41.104
Howard County;37.336;34.696;39.976
Independence County;41.085;37.792;44.378
Izard County;32.744;29.781;35.707
Jackson County;32.427;29.323;35.531
Jefferson County;35.927;32.559;39.295
Johnson County;34.923;32.019;37.827
Lafayette County;32.225;28.952;35.498
Lawrence County;34.916;31.433;38.399
Lee County;28.006;25.109;30.903
Lincoln County;37.644;33.574;41.714
Little River County;37.691;33.678;41.704
Logan County;36.391;32.875;39.907
Lonoke County;54.459;50.781;58.137
Madison County;39.158;36.202;42.114
Marion County;33.181;29.724;36.638
Miller County;40.877;38.770;42.984
Mississippi County;33.577;30.910;36.244
Monroe County;30.682;27.567;33.797
Montgomery County;34.597;30.991;38.203
Nevada County;30.935;27.716;34.154
Newton County;35.895;33.138;38.652
Ouachita County;34.971;31.332;38.610
Perry County;40.556;36.589;44.523
Phillips County;28.171;25.323;31.019
Pike County;36.893;33.477;40.309
Poinsett County;35.851;33.392;38.310
Polk County;33.127;29.973;36.281
Pope County;39.909;36.685;43.133
Prairie County;39.896;36.256;43.536
Pulaski County;45.698;43.100;48.296
Randolph County;37.761;35.038;40.484
St. Francis County;30.489;27.676;33.302
Saline County;55.915;51.847;59.983
Scott County;33.202;30.371;36.033
Searcy County;31.765;29.660;33.870
Sebastian County;39.907;37.181;42.633
Sevier County;37.014;33.611;40.417
Sharp County;32.101;29.002;35.200
Stone County;30.010;27.372;32.648
Union County;40.841;37.117;44.565
Van Buren County;32.975;30.386;35.564
Washington County;45.589;42.916;48.262
White County;42.044;38.176;45.912
Woodruff County;29.969;27.101;32.837
Yell County;37.080;33.906;40.254
California;61.927;61.689;62.165
Alameda County;76.996;75.788;78.204
Alpine County;53.003;48.227;57.779
Amador County;54.610;49.602;59.618
Butte County;42.302;40.264;44.340
Calaveras County;53.321;48.734;57.908
Colusa County;48.006;44.053;51.959
Contra Costa County;80.338;78.400;82.276
Del Norte County;41.419;38.181;44.657
El Dorado County;70.235;65.699;74.771
Fresno County;43.338;41.508;45.168
Glenn County;43.755;39.548;47.962
Humboldt County;40.581;38.005;43.157
Imperial County;38.737;35.433;42.041
Inyo County;49.267;44.287;54.247
Kern County;47.451;45.276;49.626
Kings County;44.490;40.932;48.048
Lake County;36.333;33.116;39.550
Lassen County;49.995;45.570;54.420
Los Angeles County;55.686;55.165;56.207
Madera County;43.171;40.100;46.242
Marin County;94.549;88.283;100.815
Mariposa County;47.781;44.401;51.161
Mendocino County;42.840;40.000;45.680
Merced County;43.818;41.284;46.352
Modoc County;39.172;35.813;42.531
Mono County;59.181;53.608;64.754
Monterey County;57.428;55.347;59.509
Napa County;71.063;66.853;75.273
Nevada County;57.118;52.704;61.532
Orange County;76.061;74.857;77.265
Placer County;75.689;73.005;78.373
Plumas County;47.964;43.161;52.767
Riverside County;56.877;56.024;57.730
Sacramento County;55.803;54.725;56.881
San Benito County;68.166;63.835;72.497
San Bernardino County;51.951;51.101;52.801
San Diego County;66.034;65.066;67.002
San Francisco County;83.788;81.114;86.462
San Joaquin County;51.527;50.269;52.785
San Luis Obispo County;61.775;58.599;64.951
San Mateo County;100.806;99.503;102.109
Santa Barbara County;62.116;59.007;65.225
Santa Clara County;97.219;95.336;99.102
Santa Cruz County;64.257;59.903;68.611
Shasta County;43.661;41.361;45.961
Sierra County;47.293;42.283;52.303
Siskiyou County;38.641;35.758;41.524
Solano County;67.106;63.857;70.355
Sonoma County;66.949;64.082;69.816
Stanislaus County;50.917;49.680;52.154
Sutter County;51.827;48.680;54.974
Tehama County;40.782;37.503;44.061
Trinity County;34.961;31.947;37.975
Tulare County;42.360;40.429;44.291
Tuolumne County;49.476;45.216;53.736
Ventura County;74.967;73.152;76.782
Yolo County;54.509;51.187;57.831
Yuba County;41.403;37.739;45.067
Colorado;61.324;60.846;61.802
Adams County;59.316;57.334;61.298
Alamosa County;38.140;34.339;41.941
Arapahoe County;65.359;63.481;67.237
Archuleta County;44.508;40.130;48.886
Baca County;36.294;32.501;40.087
Bent County;35.424;31.750;39.098
Boulder County;71.546;68.272;74.820
Broomfield County;85.885;80.594;91.176
Chaffee County;48.840;44.902;52.778
Cheyenne County;52.273;47.365;57.181
Clear Creek County;69.115;62.410;75.820
Conejos County;33.998;30.741;37.255
Costilla County;27.882;25.048;30.716
Crowley County;32.570;29.352;35.788
Custer County;48.368;43.265;53.471
Delta County;45.283;41.383;49.183
Denver County;54.872;53.049;56.695
Dolores County;44.235;39.514;48.956
Douglas County;107.250;101.353;113.147
Eagle County;76.661;71.045;82.277
Elbert County;83.603;77.865;89.341
El Paso County;59.286;57.168;61.404
Fremont County;41.385;38.362;44.408
Garfield County;62.529;57.791;67.267
Gilpin County;64.752;58.051;71.453
Grand County;59.379;53.682;65.076
Gunnison County;48.940;43.916;53.964
Hinsdale County;51.241;45.763;56.719
Huerfano County;32.750;29.329;36.171
Jackson County;45.073;40.305;49.841
Jefferson County;70.687;69.368;72.006
Kiowa County;42.310;38.968;45.652
Kit Carson County;46.394;41.908;50.880
Lake County;46.765;41.931;51.599
La Plata County;60.658;56.688;64.628
Larimer County;57.659;54.716;60.602
Las Animas County;39.625;35.973;43.277
Lincoln County;41.248;36.924;45.572
Logan County;45.439;40.807;50.071
Mesa County;50.106;46.721;53.491
Mineral County;51.257;46.416;56.098
Moffat County;56.193;50.405;61.981
Montezuma County;44.163;40.628;47.698
Montrose County;46.336;44.087;48.585
Morgan County;47.631;44.021;51.241
Otero County;33.043;29.808;36.278
Ouray County;57.242;51.342;63.142
Park County;58.487;53.392;63.582
Phillips County;47.006;42.298;51.714
Pitkin County;73.274;65.451;81.097
Prowers County;39.184;35.144;43.224
Pueblo County;41.382;39.048;43.716
Rio Blanco County;63.184;57.412;68.956
Rio Grande County;40.593;36.534;44.652
Routt County;66.846;61.600;72.092
Saguache County;31.227;27.923;34.531
San Juan County;40.006;35.925;44.087
San Miguel County;59.603;53.685;65.521
Sedgwick County;44.562;40.905;48.219
Summit County;68.352;61.607;75.097
Teller County;62.380;56.036;68.724
Washington County;45.784;41.207;50.361
Weld County;61.501;58.843;64.159
Yuma County;46.838;42.137;51.539
Connecticut;70.007;69.219;70.795
Fairfield County;85.336;82.686;87.986
Hartford County;65.809;64.332;67.286
Litchfield County;73.413;70.929;75.897
Middlesex County;76.365;71.817;80.913
New Haven County;60.387;58.809;61.965
New London County;65.813;63.594;68.032
Tolland County;78.653;75.528;81.778
Windham County;57.547;53.473;61.621
Delaware;59.853;58.463;61.243
Kent County;54.271;51.622;56.920
New Castle County;64.632;62.141;67.123
Sussex County;53.316;50.585;56.047
District of Columbia;69.992;68.375;71.609
District of Columbia;69.992;68.375;71.609
Florida;47.439;47.113;47.765
Alachua County;44.325;41.434;47.216
Baker County;47.121;42.324;51.918
Bay County;44.800;41.867;47.733
Bradford County;39.980;35.954;44.006
Brevard County;47.973;46.271;49.675
Broward County;51.485;50.524;52.446
Calhoun County;35.256;31.845;38.667
Charlotte County;43.242;41.050;45.434
Citrus County;36.383;34.209;38.557
Clay County;58.539;55.033;62.045
Collier County;58.403;55.663;61.143
Columbia County;38.484;35.742;41.226
DeSoto County;36.945;34.255;39.635
Dixie County;32.121;28.954;35.288
Duval County;46.013;44.573;47.453
Escambia County;46.139;44.399;47.879
Flagler County;51.556;49.968;53.144
Franklin County;36.788;33.631;39.945
Gadsden County;35.849;32.724;38.974
Gilchrist County;40.788;36.872;44.704
Glades County;38.783;34.775;42.791
Gulf County;38.419;34.421;42.417
Hamilton County;31.734;28.612;34.856
Hardee County;35.371;31.915;38.827
Hendry County;38.494;34.912;42.076
Hernando County;40.094;37.853;42.335
Highlands County;35.787;33.669;37.905
Hillsborough County;50.758;49.897;51.619
Holmes County;35.651;32.753;38.549
Indian River County;47.548;44.032;51.064
Jackson County;36.876;33.612;40.140
Jefferson County;40.205;36.328;44.082
Lafayette County;38.071;33.973;42.169
Lake County;46.895;44.754;49.036
Lee County;49.147;47.631;50.663
Leon County;45.463;42.986;47.940
Levy County;37.433;34.786;40.080
Liberty County;38.473;35.507;41.439
Madison County;33.017;29.470;36.564
Manatee County;51.673;50.128;53.218
Marion County;39.860;38.202;41.518
Martin County;55.472;52.649;58.295
Miami-Dade County;42.754;41.720;43.788
Monroe County;57.411;54.575;60.247
Nassau County;56.728;51.759;61.697
Okaloosa County;55.952;52.522;59.382
Okeechobee County;37.065;33.871;40.259
Orange County;47.069;45.721;48.417
Osceola County;42.945;40.456;45.434
Palm Beach County;52.225;51.032;53.418
Pasco County;45.219;43.938;46.500
Pinellas County;45.162;44.085;46.239
Polk County;42.768;40.997;44.539
Putnam County;32.054;29.478;34.630
St. Johns County;66.560;64.057;69.063
St. Lucie County;42.722;40.183;45.261
Santa Rosa County;58.587;54.769;62.405
Sarasota County;52.109;50.672;53.546
Seminole County;56.443;54.253;58.633
Sumter County;51.907;48.276;55.538
Suwannee County;38.177;35.104;41.250
Taylor County;36.374;32.720;40.028
Union County;40.207;36.129;44.285
Volusia County;40.881;39.563;42.199
Wakulla County;51.642;47.269;56.015
Walton County;46.867;43.244;50.490
Washington County;36.482;33.099;39.865
Georgia;49.240;48.708;49.772
Appling County;36.642;33.032;40.252
Atkinson County;31.740;28.372;35.108
Bacon County;34.201;30.961;37.441
Baker County;43.115;40.372;45.858
Baldwin County;37.008;33.136;40.880
Banks County;46.018;41.879;50.157
Barrow County;49.698;46.420;52.976
Bartow County;51.440;47.844;55.036
Ben Hill County;31.081;28.413;33.749
Berrien County;35.078;31.444;38.712
Bibb County;36.014;33.984;38.044
Bleckley County;40.454;36.118;44.790
Brantley County;36.865;33.147;40.583
Brooks County;32.903;29.702;36.104
Bryan County;66.556;60.143;72.969
Bulloch County;36.315;32.830;39.800
Burke County;35.055;32.078;38.032
Butts County;41.505;37.136;45.874
Calhoun County;30.760;27.556;33.964
Camden County;51.793;48.770;54.816
Candler County;31.829;28.644;35.014
Carroll County;43.442;39.801;47.083
Catoosa County;50.728;46.959;54.497
Charlton County;34.312;30.705;37.919
Chatham County;50.154;48.552;51.756
Chattahoochee County;45.933;41.071;50.795
Chattooga County;34.830;31.410;38.250
Cherokee County;71.168;66.835;75.501
Clarke County;31.487;29.389;33.585
Clay County;27.512;24.561;30.463
Clayton County;42.985;41.605;44.365
Clinch County;31.577;28.190;34.964
Cobb County;66.970;64.994;68.946
Coffee County;33.125;30.121;36.129
Colquitt County;33.509;30.889;36.129
Columbia County;68.067;64.634;71.500
Cook County;32.408;29.295;35.521
Coweta County;60.809;56.848;64.770
Crawford County;43.111;38.662;47.560
Crisp County;31.176;27.971;34.381
Dade County;42.953;38.615;47.291
Dawson County;57.491;52.227;62.755
Decatur County;33.968;30.444;37.492
DeKalb County;50.597;49.296;51.898
Dodge County;32.293;28.992;35.594
Dooly County;31.103;27.779;34.427
Dougherty County;32.150;30.171;34.129
Douglas County;54.581;50.791;58.371
Early County;34.906;31.945;37.867
Echols County;34.444;30.783;38.105
Effingham County;61.195;57.647;64.743
Elbert County;35.351;32.189;38.513
Emanuel County;30.119;27.094;33.144
Evans County;33.293;29.961;36.625
Fannin County;37.813;34.520;41.106
Fayette County;79.069;73.976;84.162
Floyd County;41.814;38.814;44.814
Forsyth County;86.413;83.731;89.095
Franklin County;38.055;34.099;42.011
Fulton County;55.516;53.942;57.090
Gilmer County;40.010;36.038;43.982
Glascock County;39.643;36.289;42.997
Glynn County;46.737;44.014;49.460
Gordon County;43.880;40.252;47.508
Grady County;35.237;31.745;38.729
Greene County;42.823;38.328;47.318
Gwinnett County;59.858;57.296;62.420
Habersham County;40.994;37.745;44.243
Hall County;52.238;49.277;55.199
Hancock County;26.309;23.465;29.153
Haralson County;40.387;36.514;44.260
Harris County;66.249;60.230;72.268
Hart County;38.564;34.692;42.436
Heard County;41.348;37.287;45.409
Henry County;60.388;55.891;64.885
Houston County;53.027;48.952;57.102
Irwin County;35.955;32.082;39.828
Jackson County;51.931;49.129;54.733
Jasper County;41.818;37.627;46.009
Jeff Davis County;35.235;31.850;38.620
Jefferson County;30.835;27.791;33.879
Jenkins County;30.678;27.876;33.480
Johnson County;29.818;26.688;32.948
Jones County;51.749;46.739;56.759
Lamar County;40.339;36.056;44.622
Lanier County;37.113;33.242;40.984
Laurens County;35.807;32.351;39.263
Lee County;64.533;58.699;70.367
Liberty County;41.682;39.397;43.967
Lincoln County;39.484;35.480;43.488
Long County;43.193;39.728;46.658
Lowndes County;38.887;35.811;41.963
Lumpkin County;44.653;40.463;48.843
McDuffie County;37.413;33.502;41.324
McIntosh County;37.603;34.004;41.202
Macon County;29.430;26.308;32.552
Madison County;45.557;42.038;49.076
Marion County;36.055;32.871;39.239
Meriwether County;37.243;33.650;40.836
Miller County;35.276;31.613;38.939
Mitchell County;32.711;29.782;35.640
Monroe County;53.542;48.414;58.670
Montgomery County;36.436;32.823;40.049
Morgan County;50.295;45.575;55.015
Murray County;40.976;37.394;44.558
Muscogee County;41.783;39.435;44.131
Newton County;48.058;44.261;51.855
Oconee County;80.631;73.314;87.948
Oglethorpe County;46.840;42.906;50.774
Paulding County;63.964;60.286;67.642
Peach County;40.550;36.593;44.507
Pickens County;51.047;46.717;55.377
Pierce County;40.526;36.662;44.390
Pike County;50.395;45.979;54.811
Polk County;38.847;35.078;42.616
Pulaski County;36.128;33.797;38.459
Putnam County;42.125;37.790;46.460
Quitman County;29.477;26.397;32.557
Rabun County;38.449;34.500;42.398
Randolph County;25.807;22.992;28.622
Richmond County;36.012;34.150;37.874
Rockdale County;48.287;45.162;51.412
Schley County;39.601;35.494;43.708
Screven County;34.012;31.097;36.927
Seminole County;37.672;34.724;40.620
Spalding County;35.555;32.382;38.728
Stephens County;36.870;33.184;40.556
Stewart County;27.635;24.641;30.629
Sumter County;34.017;31.056;36.978
Talbot County;33.370;30.090;36.650
Taliaferro County;28.716;25.804;31.628
Tattnall County;34.010;30.726;37.294
Taylor County;32.815;29.578;36.052
Telfair County;29.244;26.456;32.032
Terrell County;34.604;31.648;37.560
Thomas County;36.973;33.592;40.354
Tift County;36.303;33.095;39.511
Toombs County;34.008;30.527;37.489
Towns County;39.453;35.648;43.258
Treutlen County;32.536;29.387;35.685
Troup County;41.141;38.025;44.257
Turner County;32.171;28.974;35.368
Twiggs County;36.886;32.893;40.879
Union County;40.667;36.383;44.951
Upson County;34.867;32.423;37.311
Walker County;39.078;35.532;42.624
Walton County;52.082;49.310;54.854
Ware County;34.288;31.122;37.454
Warren County;31.623;28.250;34.996
Washington County;36.137;32.587;39.687
Wayne County;41.093;37.526;44.660
Webster County;33.893;30.236;37.550
Wheeler County;30.264;27.015;33.513
White County;42.126;38.668;45.584
Whitfield County;43.731;39.594;47.868
Wilcox County;32.722;29.625;35.819
Wilkes County;32.042;29.081;35.003
Wilkinson County;34.512;31.752;37.272
Worth County;40.382;36.894;43.870
Hawaii;69.549;68.236;70.862
Hawaii County;51.887;49.875;53.899
Honolulu County;73.985;72.489;75.481
Kalawao County;.;.;.
Kauai County;58.883;54.504;63.262
Maui County;64.916;62.156;67.676
Idaho;47.572;46.434;48.710
Ada County;57.908;55.704;60.112
Adams County;40.777;37.121;44.433
Bannock County;44.324;41.601;47.047
Bear Lake County;45.504;41.211;49.797
Benewah County;46.277;42.763;49.791
Bingham County;47.292;44.178;50.406
Blaine County;63.490;56.735;70.245
Boise County;50.874;45.560;56.188
Bonner County;45.193;42.226;48.160
Bonneville County;51.440;47.799;55.081
Boundary County;42.720;38.606;46.834
Butte County;42.907;38.301;47.513
Camas County;49.569;44.204;54.934
Canyon County;43.489;41.318;45.660
Caribou County;55.770;49.989;61.551
Cassia County;45.078;40.624;49.532
Clark County;45.979;41.001;50.957
Clearwater County;41.304;37.393;45.215
Custer County;42.704;38.271;47.137
Elmore County;45.049;41.375;48.723
Franklin County;50.545;45.436;55.654
Fremont County;45.578;42.663;48.493
Gem County;41.688;37.623;45.753
Gooding County;44.669;40.173;49.165
Idaho County;39.551;35.956;43.146
Jefferson County;52.428;49.237;55.619
Jerome County;46.513;42.431;50.595
Kootenai County;49.061;46.287;51.835
Latah County;43.482;39.274;47.690
Lemhi County;37.869;34.101;41.637
Lewis County;39.918;36.687;43.149
Lincoln County;44.046;40.155;47.937
Madison County;36.065;32.847;39.283
Minidoka County;46.332;42.054;50.610
Nez Perce County;46.214;42.570;49.858
Oneida County;46.503;41.578;51.428
Owyhee County;38.478;34.419;42.537
Payette County;45.533;41.477;49.589
Power County;48.048;43.461;52.635
Shoshone County;36.577;33.167;39.987
Teton County;57.644;51.704;63.584
Twin Falls County;44.236;40.957;47.515
Valley County;49.380;44.123;54.637
Washington County;35.955;32.225;39.685
Illinois;57.458;57.035;57.881
Adams County;46.061;43.973;48.149
Alexander County;30.699;27.413;33.985
Bond County;49.886;44.911;54.861
Boone County;58.792;53.534;64.050
Brown County;50.225;45.218;55.232
Bureau County;52.138;48.893;55.383
Calhoun County;49.689;44.763;54.615
Carroll County;50.750;46.649;54.851
Cass County;46.289;42.171;50.407
Champaign County;47.966;45.052;50.880
Christian County;46.870;43.000;50.740
Clark County;50.645;46.348;54.942
Clay County;45.709;42.018;49.400
Clinton County;60.556;57.351;63.761
Coles County;41.319;37.477;45.161
Cook County;55.058;54.418;55.698
Crawford County;45.889;42.420;49.358
Cumberland County;49.567;44.596;54.538
DeKalb County;56.536;53.660;59.412
De Witt County;55.193;50.680;59.706
Douglas County;52.526;48.031;57.021
DuPage County;80.037;78.333;81.741
Edgar County;45.485;41.425;49.545
Edwards County;46.894;42.541;51.247
Effingham County;52.578;48.778;56.378
Fayette County;41.268;38.095;44.441
Ford County;50.877;46.551;55.203
Franklin County;37.758;35.109;40.407
Fulton County;44.435;41.698;47.172
Gallatin County;41.045;36.674;45.416
Greene County;39.738;36.166;43.310
Grundy County;70.092;64.220;75.964
Hamilton County;49.790;45.755;53.825
Hancock County;48.767;44.176;53.358
Hardin County;37.331;33.483;41.179
Henderson County;50.999;46.158;55.840
Henry County;51.025;47.137;54.913
Iroquois County;46.895;43.622;50.168
Jackson County;34.395;31.343;37.447
Jasper County;52.919;48.826;57.012
Jefferson County;43.073;40.049;46.097
Jersey County;52.493;47.136;57.850
Jo Daviess County;51.282;47.771;54.793
Johnson County;45.773;41.358;50.188
Kane County;72.131;69.566;74.696
Kankakee County;56.326;53.488;59.164
Kendall County;90.640;84.332;96.948
Knox County;38.992;36.413;41.571
Lake County;78.001;75.330;80.672
La Salle County;51.205;47.619;54.791
Lawrence County;41.759;37.800;45.718
Lee County;54.472;51.421;57.523
Livingston County;53.918;50.432;57.404
Logan County;54.353;50.167;58.539
McDonough County;42.684;38.935;46.433
McHenry County;76.856;73.839;79.873
McLean County;60.460;56.601;64.319
Macon County;47.575;44.736;50.414
Macoupin County;48.544;45.448;51.640
Madison County;54.375;51.642;57.108
Marion County;44.289;40.997;47.581
Marshall County;53.732;48.488;58.976
Mason County;46.878;42.641;51.115
Massac County;40.590;36.552;44.628
Menard County;61.388;55.428;67.348
Mercer County;54.916;50.876;58.956
Monroe County;73.684;68.057;79.311
Montgomery County;45.288;41.003;49.573
Morgan County;46.406;42.453;50.359
Moultrie County;52.790;48.591;56.989
Ogle County;57.126;52.823;61.429
Peoria County;52.448;50.287;54.609
Perry County;42.032;37.948;46.116
Piatt County;65.971;59.575;72.367
Pike County;39.005;36.077;41.933
Pope County;40.722;36.347;45.097
Pulaski County;33.943;30.359;37.527
Putnam County;62.024;56.110;67.938
Randolph County;47.862;43.650;52.074
Richland County;43.396;39.580;47.212
Rock Island County;48.024;45.697;50.351
St. Clair County;50.155;47.200;53.110
Saline County;38.329;35.176;41.482
Sangamon County;55.371;52.707;58.035
Schuyler County;47.092;42.468;51.716
Scott County;51.584;46.178;56.990
Shelby County;48.994;44.750;53.238
Stark County;50.219;44.964;55.474
Stephenson County;48.569;45.158;51.980
Tazewell County;60.490;57.956;63.024
Union County;40.957;36.987;44.927
Vermilion County;42.036;39.421;44.651
Wabash County;49.385;45.116;53.654
Warren County;44.180;40.571;47.789
Washington County;54.683;49.827;59.539
Wayne County;46.839;44.260;49.418
White County;46.927;42.712;51.142
Whiteside County;49.895;47.222;52.568
Will County;75.176;72.839;77.513
Williamson County;46.322;42.600;50.044
Winnebago County;47.708;45.431;49.985
Woodford County;70.127;64.303;75.951
Indiana;49.384;48.906;49.862
Adams County;50.172;47.285;53.059
Allen County;48.651;47.044;50.258
Bartholomew County;54.101;50.726;57.476
Benton County;46.196;41.647;50.745
Blackford County;39.563;36.061;43.065
Boone County;68.352;63.408;73.296
Brown County;52.582;47.641;57.523
Carroll County;55.318;51.758;58.878
Cass County;44.430;40.664;48.196
Clark County;52.050;49.649;54.451
Clay County;44.385;40.034;48.736
Clinton County;49.945;45.947;53.943
Crawford County;40.657;37.412;43.902
Daviess County;47.670;44.140;51.200
Dearborn County;59.280;54.041;64.519
Decatur County;50.258;45.674;54.842
De Kalb County;51.911;49.614;54.208
Delaware County;39.449;36.898;42.000
Dubois County;53.211;49.647;56.775
Elkhart County;50.192;48.036;52.348
Fayette County;40.122;36.324;43.920
Floyd County;53.186;50.411;55.961
Fountain County;45.168;40.907;49.429
Franklin County;54.086;49.318;58.854
Fulton County;44.762;41.863;47.661
Gibson County;46.466;42.451;50.481
Grant County;40.234;37.508;42.960
Greene County;41.077;37.707;44.447
Hamilton County;89.861;85.663;94.059
Hancock County;68.334;64.418;72.250
Harrison County;56.787;52.989;60.585
Hendricks County;70.358;64.698;76.018
Henry County;41.955;38.955;44.955
Howard County;47.433;43.852;51.014
Huntington County;49.832;46.791;52.873
Jackson County;48.368;44.212;52.524
Jasper County;55.190;50.780;59.600
Jay County;38.663;35.895;41.431
Jefferson County;45.964;42.630;49.298
Jennings County;43.783;39.846;47.720
Johnson County;58.833;54.386;63.280
Knox County;44.077;40.696;47.458
Kosciusko County;54.068;51.662;56.474
Lagrange County;52.003;48.868;55.138
Lake County;50.774;49.451;52.097
La Porte County;46.243;43.650;48.836
Lawrence County;45.232;42.007;48.457
Madison County;44.730;42.688;46.772
Marion County;42.700;41.682;43.718
Marshall County;52.508;48.847;56.169
Martin County;48.381;43.328;53.434
Miami County;41.065;38.135;43.995
Monroe County;43.841;41.272;46.410
Montgomery County;46.945;42.604;51.286
Morgan County;54.849;50.763;58.935
Newton County;51.285;47.239;55.331
Noble County;50.997;46.551;55.443
Ohio County;51.403;46.088;56.718
Orange County;39.572;35.725;43.419
Owen County;46.001;42.220;49.782
